
title,subtitle,description,discount,old_price,new_price,date,images,category
TOSHIBA,Fernseher »LV3E63DAZ« VIDAA Smart TV Full HD,"{""Bildschirmgröße"": "": 32 Zoll (80 cm), 43 Zoll (108 cm)"", ""Auflösung"": "": Full-HD""}",-43%,N/A,179.99,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpb10f4c003cfa4072bdecc7e92dbbf82e.jpeg""]}",Multimedia
TELEFUNKEN,Fernseher »XUAN751S« Android Smart TV 4K UHD,"{""Bildschirmgröße"": ""43 Zoll, 55 Zoll, 65 Zoll"", ""Auflösung"": "": 4K UHD""}",-31%,N/A,245.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpaa11a86c12444b3bb52e91c338d6d00d.jpeg"", ""https://www.lidl.de/assets/gcp18954eca5eed4cada13e781aaed16bbf.jpeg"", ""https://www.lidl.de/assets/gcpaa11a86c12444b3bb52e91c338d6d00d.jpeg"", ""https://www.lidl.de/assets/gcp18954eca5eed4cada13e781aaed16bbf.jpeg"", ""https://www.lidl.de/assets/gcpaa11a86c12444b3bb52e91c338d6d00d.jpeg"", ""https://www.lidl.de/assets/gcp18954eca5eed4cada13e781aaed16bbf.jpeg""]}",Multimedia
TELEFUNKEN,»XUFO754S« Fernseher Fire TV Smart 4K UHD,"{""Bildschirmgröße"": ""43 Zoll (108 cm), 50 Zoll (126 cm), 55 Zoll (139 cm), 65 Zoll (164 cm)"", ""Auflösung"": "":""}",-42%,N/A,255.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpdcacd8d0daae48df9e4564ac78517436.jpg""]}",Multimedia
JVC,Fernseher »LT-VU3455« TiVo Smart TV 4K UHD,"{""Bildschirmgröße"": "": 43 Zoll (108 cm), 50 Zoll (126 cm), 65 Zoll (164 cm)"", ""Auflösung"": "": 4K UHD""}",-33%,N/A,305.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp911e957db5534a29aa071b3668c9b24e.jpeg""]}",Multimedia
TELEFUNKEN,Fernseher »XUTO750S« TiVo Smart TV 4K UHD (50 Zoll),"{""Bildschirmgröße"": "": 43 Zoll (108 cm), 50 Zoll (126 cm), 55 Zoll (139 cm), 65 Zoll (164 cm)"", ""Auflösung"": "": 4K UHD""}",-29%,N/A,305.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpb8897651e85a45658a4189cec20fcdb1.jpeg"", ""https://www.lidl.de/assets/gcp4333055422f94075bf3cdd20f48c9291.jpeg"", ""https://www.lidl.de/assets/gcp658ee8609b6344ec8819d0cd374ab1f4.jpeg"", ""https://www.lidl.de/assets/gcpb8897651e85a45658a4189cec20fcdb1.jpeg"", ""https://www.lidl.de/assets/gcp4333055422f94075bf3cdd20f48c9291.jpeg"", ""https://www.lidl.de/assets/gcp658ee8609b6344ec8819d0cd374ab1f4.jpeg"", ""https://www.lidl.de/assets/gcpb8897651e85a45658a4189cec20fcdb1.jpeg"", ""https://www.lidl.de/assets/gcp4333055422f94075bf3cdd20f48c9291.jpeg"", ""https://www.lidl.de/assets/gcp658ee8609b6344ec8819d0cd374ab1f4.jpeg""]}",Multimedia
JVC,»LT-VQF545A« Fernseher QLED Android Smart TV Full HD,"{""Bildschirmgröße"": "":"", ""Auflösung"": "":""}",-27%,N/A,217.52,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcpafe31bf9604843ddb4dd497f2cfd3950.jpg""]}",Multimedia
JVC,Fernseher »LT-55VU3455« 55 Zoll 4K UHD Smart TV - Powered by TiVo,"{""Bildschirmgröße"": "": 55 Zoll (139 cm)"", ""Auflösung"": "": 4K UHD""}",N/A,N/A,349.00,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp0ee2e0c0fee04e618fd9e06081ee5e81.jpeg"", ""https://www.lidl.de/assets/gcpe42ce1eda7844d7a85f56a468491ece0.jpeg"", ""https://www.lidl.de/assets/gcp602a0ceb04cb49f495990884dc9e07dc.jpeg"", ""https://www.lidl.de/assets/gcp0ee2e0c0fee04e618fd9e06081ee5e81.jpeg"", ""https://www.lidl.de/assets/gcpe42ce1eda7844d7a85f56a468491ece0.jpeg"", ""https://www.lidl.de/assets/gcp602a0ceb04cb49f495990884dc9e07dc.jpeg"", ""https://www.lidl.de/assets/gcp0ee2e0c0fee04e618fd9e06081ee5e81.jpeg"", ""https://www.lidl.de/assets/gcpe42ce1eda7844d7a85f56a468491ece0.jpeg"", ""https://www.lidl.de/assets/gcp602a0ceb04cb49f495990884dc9e07dc.jpeg""]}",Multimedia
JVC,Fernseher »LT-VA3355« Android Smart TV 4K UHD,"{""Bildschirmgröße"": "": 43 Zoll (108 cm), 50 Zoll (126 cm), 55 Zoll (139 cm)"", ""Auflösung"": "": 4K UHD""}",-38%,N/A,265.04,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp5e5ab8d19dc14111998b19aafddba3d5.jpeg""]}",Multimedia
SILVERCREST®,"Tragbarer DVD-Player »SPDP 18 A1«, mit 2 Bildschirmen","{""Betriebszeit"": ""110 Minuten"", ""Ladezeit"": ""3 Stunden"", ""Bildschirme"": ""je 22,7 cm (9″)""}",N/A,N/A,129.00,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp2176dbf1e98548faa1d1b11370d0a195.jpeg"", ""https://www.lidl.de/assets/gcp96b641d5d98c442c8dbbc97c3ea6a3c1.jpeg"", ""https://www.lidl.de/assets/gcpecf8055c7e064659bb052a989a38aabb.jpeg"", ""https://www.lidl.de/assets/gcp2176dbf1e98548faa1d1b11370d0a195.jpeg"", ""https://www.lidl.de/assets/gcp96b641d5d98c442c8dbbc97c3ea6a3c1.jpeg"", ""https://www.lidl.de/assets/gcpecf8055c7e064659bb052a989a38aabb.jpeg"", ""https://www.lidl.de/assets/gcp2176dbf1e98548faa1d1b11370d0a195.jpeg"", ""https://www.lidl.de/assets/gcp96b641d5d98c442c8dbbc97c3ea6a3c1.jpeg"", ""https://www.lidl.de/assets/gcpecf8055c7e064659bb052a989a38aabb.jpeg""]}",Multimedia
JVC,Fernseher »LT-VF5355« TiVo Smart TV Full HD,"{""Bildschirmgröße"": "": 32 Zoll (80 cm), 40 Zoll (102 cm), 43 Zoll (108 cm)"", ""Auflösung"": "": Full HD""}",-25%,N/A,199.91,2025-04-16 12:27:48,"{""images"": [""https://www.lidl.de/assets/gcp5bf8a232b8e5452c993c6207a7af9859.jpeg""]}",Multimedia
