title,subtitle,description,discount,old_price,new_price,date,images,categorie
Karibu,"Karibu Gartenhaus »Carlos«, Satteldach, Witterungsschutz, Tür mit 3 Lichtausschnitten","{""Wandstärke"": ""28 mm"", ""Material"": ""Fichtenholz"", ""Farben"": ""naturbelassen oder terragrau""}",-10%,N/A,1299.00,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/57fec9bea14e9d186b4551145a143b44.jpeg"", ""https://www.lidl.de/assets/286b6397a9e1d6ae6d30b13fd9e13875.jpeg"", ""https://www.lidl.de/assets/172ef0f0ef2c04c5002cd63b3cf4ddc0.jpeg"", ""https://www.lidl.de/assets/57fec9bea14e9d186b4551145a143b44.jpeg"", ""https://www.lidl.de/assets/286b6397a9e1d6ae6d30b13fd9e13875.jpeg"", ""https://www.lidl.de/assets/172ef0f0ef2c04c5002cd63b3cf4ddc0.jpeg"", ""https://www.lidl.de/assets/57fec9bea14e9d186b4551145a143b44.jpeg"", ""https://www.lidl.de/assets/286b6397a9e1d6ae6d30b13fd9e13875.jpeg"", ""https://www.lidl.de/assets/172ef0f0ef2c04c5002cd63b3cf4ddc0.jpeg""]}",garten & Balkon
Prosperplast,"Rasenkante »Palisada«, 32er Set, Beetumrandung Länge 3,8 m","{""Set"": ""32 Rasenkantenelemente"", ""Material"": ""Kunststoff"", ""Farben"": ""braun, grau oder terracotta""}",N/A,N/A,14.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/509739d624cb11307ed3da011c738fd3.jpeg"", ""https://www.lidl.de/assets/f0c627d3ee11cf69ab55d57bde8a0826.jpeg"", ""https://www.lidl.de/assets/5abfb7ebe957721391284aceab26d75a.jpeg"", ""https://www.lidl.de/assets/509739d624cb11307ed3da011c738fd3.jpeg"", ""https://www.lidl.de/assets/f0c627d3ee11cf69ab55d57bde8a0826.jpeg"", ""https://www.lidl.de/assets/5abfb7ebe957721391284aceab26d75a.jpeg"", ""https://www.lidl.de/assets/509739d624cb11307ed3da011c738fd3.jpeg"", ""https://www.lidl.de/assets/f0c627d3ee11cf69ab55d57bde8a0826.jpeg"", ""https://www.lidl.de/assets/5abfb7ebe957721391284aceab26d75a.jpeg""]}",garten & Balkon
Promadino,"Promadino Kräuter-Hochbeet, mit Ablage und Pflanzfolie",N/A,-37%,N/A,89.00,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/cf6904a6666ed8e4aedb5052a7145ac7.jpeg""]}",garten & Balkon
PARKSIDE®,"Hochbeet, vorbehandelt mit umweltfreundlicher Lasur (3-Schicht-Hochbeet)",N/A,N/A,N/A,42.99,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcpd237c8dc4ebc4255acf683a964f28586.jpg"", ""https://www.lidl.de/assets/gcpc48feeef0f3a4c45b01f3dea871c667b.jpg"", ""https://www.lidl.de/assets/gcpc454459a307f4b63bbf86e11ebc086a9.jpg"", ""https://www.lidl.de/assets/gcpd237c8dc4ebc4255acf683a964f28586.jpg"", ""https://www.lidl.de/assets/gcpc48feeef0f3a4c45b01f3dea871c667b.jpg"", ""https://www.lidl.de/assets/gcpc454459a307f4b63bbf86e11ebc086a9.jpg"", ""https://www.lidl.de/assets/gcpd237c8dc4ebc4255acf683a964f28586.jpg"", ""https://www.lidl.de/assets/gcpc48feeef0f3a4c45b01f3dea871c667b.jpg"", ""https://www.lidl.de/assets/gcpc454459a307f4b63bbf86e11ebc086a9.jpg""]}",garten & Balkon
PALRAM – CANOPIA,"Gartenpavillon »Palermo«, pulverbeschichtetes Aluminium","{""Material"": ""Aluminium"", ""Farbe"": ""anthrazit""}",-16%,N/A,999.05,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/89038ce0063ee252d4e0bf4efac26897.jpeg"", ""https://www.lidl.de/assets/a021dfa424d55884886fdd33be0fb1a8.jpeg"", ""https://www.lidl.de/assets/715d7b0f685d1d7febf5cdaf53698eed.jpeg"", ""https://www.lidl.de/assets/89038ce0063ee252d4e0bf4efac26897.jpeg"", ""https://www.lidl.de/assets/a021dfa424d55884886fdd33be0fb1a8.jpeg"", ""https://www.lidl.de/assets/715d7b0f685d1d7febf5cdaf53698eed.jpeg"", ""https://www.lidl.de/assets/89038ce0063ee252d4e0bf4efac26897.jpeg"", ""https://www.lidl.de/assets/a021dfa424d55884886fdd33be0fb1a8.jpeg"", ""https://www.lidl.de/assets/715d7b0f685d1d7febf5cdaf53698eed.jpeg""]}",garten & Balkon
dobar,"Hochbeet »Rolla«, aus Kiefernholz, mit Staufach","{""Material"": ""Kiefernholz"", ""Pflanzvolumen"": ""50 L / 75 L"", ""Maße"": ""ca. L 72 / 92 x B 30 x H 80 cm""}",N/A,N/A,95.40,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp2d06889cbbe94e89a480b32a3e36232b.jpeg"", ""https://www.lidl.de/assets/gcpce8d8a7b36ee4d478b862c11a00489cc.jpeg"", ""https://www.lidl.de/assets/gcp1d38d653fe424dcbb359eb552aac9869.jpeg"", ""https://www.lidl.de/assets/gcp2d06889cbbe94e89a480b32a3e36232b.jpeg"", ""https://www.lidl.de/assets/gcpce8d8a7b36ee4d478b862c11a00489cc.jpeg"", ""https://www.lidl.de/assets/gcp1d38d653fe424dcbb359eb552aac9869.jpeg"", ""https://www.lidl.de/assets/gcp2d06889cbbe94e89a480b32a3e36232b.jpeg"", ""https://www.lidl.de/assets/gcpce8d8a7b36ee4d478b862c11a00489cc.jpeg"", ""https://www.lidl.de/assets/gcp1d38d653fe424dcbb359eb552aac9869.jpeg""]}",garten & Balkon
Vitavia,"Vitavia Balkongewächshaus »Stad«, mit festem Fundament oder Rollen, aus Aluminium",N/A,N/A,N/A,379.90,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/33d7eebdaf284bbfabb8a2ed8c82f819.jpeg"", ""https://www.lidl.de/assets/7d585a71a5fb0f2b72cf2c45c77731f2.jpeg"", ""https://www.lidl.de/assets/d456035b4149fd30a024ba388bbf576f.jpeg"", ""https://www.lidl.de/assets/33d7eebdaf284bbfabb8a2ed8c82f819.jpeg"", ""https://www.lidl.de/assets/7d585a71a5fb0f2b72cf2c45c77731f2.jpeg"", ""https://www.lidl.de/assets/d456035b4149fd30a024ba388bbf576f.jpeg"", ""https://www.lidl.de/assets/33d7eebdaf284bbfabb8a2ed8c82f819.jpeg"", ""https://www.lidl.de/assets/7d585a71a5fb0f2b72cf2c45c77731f2.jpeg"", ""https://www.lidl.de/assets/d456035b4149fd30a024ba388bbf576f.jpeg""]}",garten & Balkon
Karibu,"Karibu Gartenhaus »Trundholm 1«, mit verglaster Doppeltür, inklusive Schleppdach",N/A,N/A,N/A,1399.00,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/gcp26f5376211bb464695241984bc48b775.jpeg""]}",garten & Balkon
Vitavia,"Hochbeet »858 rund«, Stahlblech","{""Material"": ""Stahlblech"", ""Maße"": ""ca. L 82,1 x B 82,1 x H 85,8 cm"", ""Farben"": ""alufarben, dunkelgrau, ziegelrot, schwarz""}",N/A,N/A,125.90,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/01e4ff777ed8a402d4fa85298cce1c3a.jpeg""]}",garten & Balkon
Vitavia,Vitavia Hochbeet-Erweiterung »Curve« für Hochbeet 858,"{""Material"": ""Stahlblech"", ""Farben"": ""Aluminium, dunkelgrau, ziegelrot, schwarz"", ""Set"": ""3-teilig""}",Billiger,N/A,124.05,2025-04-11 20:27:03,"{""images"": [""https://www.lidl.de/assets/9e50719f012f9fa78e4b289d0484749d.jpeg"", ""https://www.lidl.de/assets/1a333deccd50156afc77e475f249f525.jpeg"", ""https://www.lidl.de/assets/213e588b4f0766e36ae15367f6e2b397.jpeg"", ""https://www.lidl.de/assets/9e50719f012f9fa78e4b289d0484749d.jpeg"", ""https://www.lidl.de/assets/1a333deccd50156afc77e475f249f525.jpeg"", ""https://www.lidl.de/assets/213e588b4f0766e36ae15367f6e2b397.jpeg"", ""https://www.lidl.de/assets/9e50719f012f9fa78e4b289d0484749d.jpeg"", ""https://www.lidl.de/assets/1a333deccd50156afc77e475f249f525.jpeg"", ""https://www.lidl.de/assets/213e588b4f0766e36ae15367f6e2b397.jpeg""]}",garten & Balkon
